subject,trial,trial_id,step_count_raw,step_count_valid,duration_walk_sec,mean_step_time,step_time_std,cadence_spm,distance_2d_m,walking_speed_ms,step_length_m,is_valid_trial,trial_num
Afi,Afi_Jalan1,Jalan1,3,3,0.7148159999997006,0.3574079999998503,0.040570958670107786,251.81305398882427,1.1804834350772042,1.651450772055604,0.5902417175386021,0,1.0
Afi,Afi_Jalan2,Jalan2,6,6,2.083814000005077,0.4167628000010154,0.25336774684448177,172.76014077989825,0.7326010509505032,0.3515673908269732,0.14652021019010064,1,2.0
Afi,Afi_Jalan3,Jalan3,5,5,1.5973630000007688,0.3993407500001922,0.05202168869647701,187.8095335874536,3.0818162337170407,1.9293148981888009,0.7704540584292602,1,3.0
Afi,Afi_Jalan4,Jalan4,2,2,0.39192999999795575,0.39192999999795575,0.0,306.177123467522,4.584173262397556,11.696408191313415,4.584173262397556,0,4.0
Afi,Afi_Jalan5,Jalan5,5,4,1.0491449999972247,0.3497149999990749,0.08199157963893623,228.75770270137576,1.700044628758962,1.620409599019639,0.566681542919654,0,5.0
Afi,Afi_Jalan6,Jalan6,4,4,1.1523310000047786,0.3841103333349262,0.1466578764313543,208.2734908624386,3.92892997927201,3.4095498422377917,1.3096433264240033,0,6.0
Afi,Afi_Jalan7,Jalan7,7,6,1.5364659999977448,0.30729319999954896,0.04776657361912666,234.30391560928027,1.8491144918107816,1.203485460669807,0.3698228983621563,1,7.0
Afi,Afi_Jalan8,Jalan8,5,5,1.221944999997504,0.305486249999376,0.035183489843192084,245.51023163940502,1.6333870153248171,1.3367107482973075,0.4083467538312043,0,8.0
Afi,Afi_Jalan9,Jalan9,5,4,0.9249009999984992,0.3083003333328331,0.07105529164382003,259.48723160683085,0.7414422794753989,0.8016450187388726,0.24714742649179963,0,9.0
Afi,Afi_Jalan10,Jalan10,6,5,1.432831999998598,0.3582079999996495,0.055417922993719115,209.3755583350271,1.3730077380385464,0.9582475391671109,0.3432519345096366,0,10.0
Afi,Afi_Jalan11,Jalan11,6,6,2.574859000000288,0.5149718000000576,0.3452927539917811,139.81348104884958,2.669618106774798,1.036801668275622,0.5339236213549596,1,11.0
Afi,Afi_Jalan12,Jalan12,7,6,1.4376370000027237,0.2875274000005447,0.0200155472269542,250.41091735905377,0.9552839363656,0.6644820190102162,0.19105678727312,0,12.0
Afi,Afi_Jalan13,Jalan13,4,4,1.8787809999994352,0.626260333333145,0.5594674778119945,127.74240318593394,2.696252825748608,1.4351075648249683,0.8987509419162026,1,13.0
Afi,Afi_Jalan14,Jalan14,2,0,,,,,,,,0,14.0
Afi,Afi_Jalan15,Jalan15,7,6,3.0215400000015507,0.6043080000003102,0.5058316449402633,119.1445421870355,3.0026263649235663,0.9937403989098358,0.6005252729847133,1,15.0
Afi,Afi_Jalan16,Jalan16,7,6,2.69855799999641,0.5397115999992821,0.46775813052910564,133.4045812617253,3.0973450575741674,1.1477778345243228,0.6194690115148335,1,16.0
Afi,Afi_Jalan17,Jalan17,4,3,0.5999550000051386,0.2999775000025693,0.040034264631857594,300.0225016850569,0.6624515753348813,1.1041687715398778,0.33122578766744065,0,17.0
Afi,Afi_Jalan18,Jalan18,7,7,4.570493999999599,0.7617489999999331,0.5428484493824037,91.89378653599302,3.0235916106634333,0.661545909624583,0.5039319351105722,1,18.0
Afi,Afi_Jalan19,Jalan19,5,5,3.581123000003572,0.895280750000893,0.719166942670051,83.77260429192205,2.8418027174002263,0.7935507150682598,0.7104506793500566,1,19.0
Afi,Afi_Jalan20,Jalan20,4,4,1.0318180000031134,0.34393933333437116,0.0285317418063099,232.59915992866553,1.2784684751139481,1.2390445554449432,0.42615615837131604,0,20.0
Afi,Afi_Jalan21,Jalan21,6,6,4.846661999996286,0.9693323999992571,0.658497235192188,74.27792571470341,0.8713505046244701,0.17978363348323811,0.174270100924894,0,21.0
Afi,Afi_Jalan22,Jalan22,3,3,0.9882989999969141,0.49414949999845703,0.3108901029438655,182.13111619111427,2.6637423847586144,2.6952798543425946,1.3318711923793072,0,22.0
Afi,Afi_Jalan23,Jalan23,4,4,1.487660999999207,0.4958869999997357,0.15135873311608883,161.3270765316345,0.9032378805757925,0.6071530278580093,0.30107929352526414,0,23.0
Afi,Afi_Jalan24,Jalan24,3,3,1.1575809999994817,0.5787904999997409,0.1159874324249874,155.49667798631853,1.3386538922521214,1.1564235178814448,0.6693269461260607,0,24.0
Afi,Afi_Jalan25,Jalan25,5,5,1.2690180000063265,0.3172545000015816,0.05850748405524855,236.40326614634654,1.8800631380834474,1.481510221347589,0.47001578452086185,0,25.0
Afi,Afi_Jalan26,Jalan26,4,4,0.8329440000015893,0.27764800000052975,0.0022428769514712217,288.13461649227565,1.0359258135787346,1.2436920292081557,0.34530860452624484,0,26.0
Afi,Afi_Jalan27,Jalan27,6,6,3.857661999994889,0.7715323999989778,0.7334652095404309,93.32077304866962,2.278711360391059,0.5906975158513312,0.45574227207821183,1,27.0
Afi,Afi_Jalan28,Jalan28,6,4,1.2082379999992554,0.4027459999997518,0.21656355334128288,198.63636137925468,1.5463213664103066,1.2798152072780855,0.5154404554701022,0,28.0
Afi,Afi_Jalan29,Jalan29,8,8,3.1264640000008512,0.4466377142858359,0.4008979936827887,153.5280751673038,0.17222411879532976,0.05508591136673343,0.024603445542189965,0,29.0
Afi,Afi_Jalan30,Jalan30,10,10,5.558940000002622,0.6176600000002913,0.9496422892613726,107.93424645700746,3.4847346863876045,0.6268703541297371,0.38719274293195605,1,30.0
Afi,Afi_Jalan31,Jalan31,6,4,0.8166990000026999,0.27223300000089995,0.002276145646754577,293.8659163280555,0.7730416147432718,0.9465440936510467,0.2576805382477573,0,31.0
Afi,Afi_Jalan32,Jalan32,7,5,1.1609579999931157,0.2902394999982789,0.027697296048967594,258.4072808850785,1.7909854413210662,1.5426789266551302,0.44774636033026655,0,32.0
Afi,Afi_Jalan33,Jalan33,7,5,1.2537659999943571,0.3134414999985893,0.028840455764948515,239.27909992881465,1.0198320271604944,0.8134149651251384,0.2549580067901236,0,33.0
Afi,Afi_Jalan34,Jalan34,4,3,0.6614410000038333,0.33072050000191666,2.8991382698387554e-05,272.13311542368376,2.4738971005821604,3.740162917883565,1.2369485502910802,0,34.0
Afi,Afi_Jalan35,Jalan35,2,2,0.33138400000461843,0.33138400000461843,0.0,362.117664094608,1.788897914789135,5.398262785059639,1.788897914789135,0,35.0
Afi,Afi_Jalan36,Jalan36,4,3,0.6053929999980028,0.3026964999990014,0.03857196780723244,297.32752113188263,3.2599875986281606,5.384911286782165,1.6299937993140803,0,36.0
Afi,Afi_Jalan37,Jalan37,6,6,1.6491709999972954,0.32983419999945907,0.05523456515386035,218.29149312023458,0.08786448529249415,0.053277971352054,0.017572897058498828,0,37.0
Afi,Afi_Jalan38,Jalan38,3,3,0.7661479999951553,0.38307399999757763,0.00332764450691717,234.94155176433043,2.8963174321204583,3.780362843913674,1.4481587160602292,0,38.0
Afi,Afi_Jalan39,Jalan39,7,7,2.1453360000014072,0.3575560000002345,0.04559633439819527,195.7735291813145,1.832898890470937,0.8543644867143118,0.30548314841182284,1,39.0
Afi,Afi_Jalan40,Jalan40,6,6,3.2581720000016503,0.65163440000033,0.511726570168149,110.49140438252421,1.2303276320803362,0.3776128553310608,0.24606552641606724,1,40.0
Afi,Afi_Jalan41,Jalan41,7,5,1.0965939999950933,0.27414849999877333,0.0038694899276311514,273.5743584237579,1.5128056018231741,1.3795494064621392,0.37820140045579353,0,41.0
Afi,Afi_Jalan42,Jalan42,9,9,4.300495000003139,0.5375618750003923,0.4396395935290749,125.5669405497753,2.1820593436351143,0.5073972516265038,0.2727574179543893,1,42.0
Afi,Afi_Jalan43,Jalan43,18,18,11.005297999996401,0.6473704705880235,0.9742028345120256,98.13455301259023,1.0416517033120254,0.09465002249937858,0.061273629606589726,0,43.0
Afi,Afi_Jalan44,Jalan44,13,13,7.867614000002504,0.6556345000002087,0.9188032553467781,99.1406034917005,0.4104605744090572,0.052170909046748676,0.034205047867421436,0,44.0
Afi,Afi_Jalan45,Jalan45,21,18,9.794120000005933,0.5761247058827019,0.7375654415465128,110.27024377885363,1.8498618373150548,0.18887473681289738,0.10881540219500323,0,45.0
Afi,Afi_Jalan46,Jalan46,9,9,6.382721000001766,0.7978401250002207,0.9457894914094597,84.60341600390345,0.5234624094046356,0.08201242219493705,0.06543280117557945,0,46.0
Afi,Afi_Jalan47,Jalan47,10,8,4.6737970000031055,0.6676852857147294,1.035779273474024,102.70022425015058,1.477232961908059,0.31606699262014964,0.21103328027257987,1,47.0
Afi,Afi_Jalan48,Jalan48,15,12,7.4824329999974,0.6802211818179454,0.9178881985315718,96.22538551300762,0.6324178128600847,0.08452034423299273,0.05749252844182588,0,48.0
Afi,Afi_Jalan49,Jalan49,10,10,5.734035000001313,0.6371150000001459,0.540834470404564,104.6383567592215,0.18934549999061032,0.03302133663128442,0.02103838888784559,0,49.0
Afi,Afi_Jalan50,Jalan50,8,6,3.519733000000997,0.7039466000001994,0.8417917911621645,102.28048547997761,1.2981023851016604,0.36880706153031856,0.2596204770203321,1,50.0
Afi,Afi_Jalan51,Jalan51,14,11,5.442619999994349,0.5442619999994349,0.5589717514502442,121.2651259872424,1.048174370053704,0.19258635915327404,0.10481743700537041,0,51.0
Afi,Afi_Jalan52,Jalan52,6,6,3.5577069999999367,0.7115413999999873,0.9249184165526128,101.18877130691381,0.6828230563541862,0.19192785025697684,0.13656461127083724,0,52.0
Afi,Afi_Jalan53,Jalan53,6,6,3.5218630000017583,0.7043726000003516,0.6037145077050238,102.21862690281259,0.13982819972982324,0.039702907162985454,0.027965639945964647,0,53.0
Afi,Afi_Jalan54,Jalan54,10,10,4.384720000001835,0.48719111111131497,0.41708549567764347,136.83884033638384,0.9046309893178358,0.2063144258510138,0.10051455436864842,1,54.0
Afi,Afi_Jalan55,Jalan55,13,10,3.567353999998886,0.3963726666665429,0.34529734523101524,168.191886759819,2.6847817133818936,0.7525975031866005,0.29830907926465483,1,55.0
Afi,Afi_Jalan56,Jalan56,12,11,4.626280999997107,0.46262809999971066,0.5404102997767041,142.66318885524092,1.9907550533963088,0.4303143396169739,0.19907550533963086,1,56.0
Afi,Afi_Jalan57,Jalan57,18,15,5.328847000004316,0.3806319285717369,0.24607325244604325,168.89206989791057,2.756109245447022,0.5172055503647955,0.19686494610335872,1,57.0
Afi,Afi_Jalan58,Jalan58,9,8,2.7429450000054203,0.39184928571506006,0.28672812610856874,174.9943947104486,2.1471606983895146,0.7827939307515359,0.3067372426270735,1,58.0
Afi,Afi_Jalan59,Jalan59,9,7,2.621370000000752,0.4368950000001253,0.32609299240374784,160.22156353352617,2.1619399541348976,0.8247366659930789,0.3603233256891496,1,59.0
Afi,Afi_Jalan60,Jalan60,17,17,8.409367999993265,0.525585499999579,0.6509464528221683,121.29330051923247,0.5860421045243299,0.06968919715783627,0.03662763153277062,0,60.0
Afi,Afi_Jalan61,Jalan61,10,7,1.7013559999977588,0.2835593333329598,0.024252508124757245,246.86191484942202,0.9988633861859387,0.5870984004448537,0.1664772310309898,1,61.0
Afi,Afi_Jalan62,Jalan62,10,9,4.62351600000693,0.5779395000008662,0.4163787119104085,116.79423192202441,1.2422731301611079,0.26868580754543636,0.15528414127013848,1,62.0
Afi,Afi_Jalan63,Jalan63,10,10,3.451944000000367,0.3835493333333741,0.28781201799031336,173.8151024466029,2.2122197632524205,0.6408620079735319,0.2458021959169356,1,63.0
Afi,Afi_Jalan64,Jalan64,4,3,0.5537890000050538,0.2768945000025269,0.002670742311184659,325.03354165279075,0.3312849843307188,0.5982151764077934,0.1656424921653594,0,64.0
Afi,Afi_Jalan65,Jalan65,6,4,0.9295279999932973,0.30984266666443244,0.029174405091500495,258.19555731697227,0.6548386601681406,0.7044851367283854,0.2182795533893802,0,65.0
Afi,Afi_Jalan66,Jalan66,12,12,5.654684000000998,0.5140621818182726,0.5168841684471828,127.32806996816673,0.2969244046843696,0.05250946024292731,0.026993127698579054,0,66.0
Afi,Afi_Jalan67,Jalan67,17,17,14.568875999997545,0.9105547499998465,1.1900778813833972,70.01226450140504,2.0787650870980925,0.14268534422960583,0.12992281794363078,0,67.0
Afi,Afi_Jalan68,Jalan68,15,13,8.40880200000538,0.7007335000004483,0.7096831955968033,92.75994368751945,2.7715309824048275,0.3295987921231888,0.2309609152004023,1,68.0
Afi,Afi_Jalan69,Jalan69,25,25,15.126263999998628,0.6302609999999428,0.8210641302099185,99.16526645311335,2.0782527217489917,0.13739365660609787,0.08659386340620799,0,69.0
Afi,Afi_Jalan70,Jalan70,24,22,14.464012000004004,0.6887624761906669,0.8712075165462007,91.2609862325636,1.479862614701311,0.1023134255351075,0.07046964831911004,0,70.0
Afi,Afi_Jalan71,Jalan71,19,16,12.004344000000856,0.8002896000000571,0.8641345539404859,79.97105047972063,4.1614423184195815,0.3466613684528938,0.2774294878946388,1,71.0
Afi,Afi_Jalan72,Jalan72,26,25,15.564540999999736,0.6485225416666557,0.8425485052551898,96.37290299791208,2.482876165262652,0.15952132255379034,0.10345317355261051,0,72.0
Kinan,Kinan_Jalan1,Jalan1,4,4,1.0482179999962682,0.34940599999875604,0.0870666182247803,228.9600064116953,0.882740035039325,0.8421340170102666,0.29424667834644164,0,1.0
Kinan,Kinan_Jalan2,Jalan2,6,4,0.8221940000003087,0.2740646666667696,0.0007425828806711493,291.9019112276542,0.7548587946966778,0.9181030203290153,0.25161959823222596,0,2.0
Kinan,Kinan_Jalan3,Jalan3,9,7,1.7672069999971427,0.2945344999995238,0.043476533351039584,237.66316000371154,1.286816208077241,0.7281638246562635,0.2144693680128735,1,3.0
Kinan,Kinan_Jalan4,Jalan4,9,6,1.374087000003783,0.2748174000007566,0.007526550689578939,261.99214460147635,1.1894916782789442,0.8656596549386388,0.23789833565578883,0,4.0
Kinan,Kinan_Jalan5,Jalan5,6,5,1.216642999999749,0.30416074999993725,0.0312874404847214,246.5801389561785,1.2817576866079614,1.0535199615731368,0.32043942165199035,0,5.0
Kinan,Kinan_Jalan6,Jalan6,10,7,1.697760000002745,0.2829600000004575,0.02105945738216071,247.3847893691222,1.3384479952421102,0.7883611318678412,0.22307466587368505,1,6.0
Kinan,Kinan_Jalan7,Jalan7,7,7,3.485704999999143,0.5809508333331905,0.5903747115682354,120.49212426183605,1.5109408875697574,0.4334678028032002,0.25182348126162624,1,7.0
Kinan,Kinan_Jalan8,Jalan8,6,4,0.9457909999982803,0.31526366666609346,0.06715703028186443,253.75585092312824,0.8545051704909509,0.9034820277339334,0.28483505683031696,0,8.0
Kinan,Kinan_Jalan9,Jalan9,6,6,1.5362590000004275,0.3072518000000855,0.04967358416718736,234.33548639903807,1.2963667091564772,0.8438464537269539,0.25927334183129547,1,9.0
Kinan,Kinan_Jalan10,Jalan10,5,4,0.9374670000033802,0.3124890000011267,0.061948888632411166,256.0090115162823,0.8298851730789671,0.8852420117998552,0.27662839102632236,0,10.0
Kinan,Kinan_Jalan11,Jalan11,3,2,0.32914500000333646,0.32914500000333646,0.0,364.5809597556809,0.3682038990657838,1.1186677575598944,0.3682038990657838,0,11.0
Kinan,Kinan_Jalan12,Jalan12,7,6,3.913371000002371,0.7826742000004743,0.9190842461567876,91.9923002444138,1.0414632712274832,0.26612944983413334,0.20829265424549664,1,12.0
Kinan,Kinan_Jalan13,Jalan13,6,5,2.529250999999931,0.6323127499999828,0.4401988110844652,118.61218993291223,2.7155605802355463,1.0736619577240931,0.6788901450588866,1,13.0
Kinan,Kinan_Jalan14,Jalan14,8,7,3.078707000000577,0.5131178333334295,0.3074776250695477,136.42090656886845,3.484872274828987,1.1319272262116316,0.5808120458048311,1,14.0
Kinan,Kinan_Jalan15,Jalan15,6,5,2.042111999995541,0.5105279999988852,0.4265925995785432,146.90673185440127,1.8187359085393993,0.8906151614325614,0.4546839771348498,1,15.0
Kinan,Kinan_Jalan16,Jalan16,5,5,1.2012389999945299,0.30030974999863247,0.028632745153415313,249.7421412403078,0.6378154678284027,0.5309646688388465,0.15945386695710068,0,16.0
Kinan,Kinan_Jalan17,Jalan17,7,7,2.374266999999236,0.3957111666665393,0.24009706773771197,176.89670117140793,3.1001258783712613,1.3057191454761654,0.5166876463952103,1,17.0
Kinan,Kinan_Jalan18,Jalan18,7,7,5.606188999998267,0.9343648333330444,0.527252979488466,74.91720311251187,3.4634479430218392,0.6177900786118538,0.5772413238369732,1,18.0
Kinan,Kinan_Jalan19,Jalan19,7,7,3.028308000000834,0.504718000000139,0.5061663037460603,138.69130881003,2.608614923885042,0.861410042797603,0.4347691539808403,1,19.0
Kinan,Kinan_Jalan20,Jalan20,9,7,1.912348000005295,0.3187246666675492,0.06468353128446865,219.62529832375543,1.4402911214982994,0.7531532553145721,0.24004852024971657,1,20.0
Kinan,Kinan_Jalan21,Jalan21,6,6,2.586310999999114,0.5172621999998228,0.5405822492306985,139.19439696158867,2.318650923032515,0.8965089360998386,0.46373018460650306,1,21.0
Kinan,Kinan_Jalan22,Jalan22,4,3,0.9492919999975129,0.47464599999875645,0.030493272829179754,189.61499728268183,4.166740510304083,4.389313836327495,2.0833702551520417,0,22.0
Kinan,Kinan_Jalan23,Jalan23,5,4,0.8338139999978011,0.27793799999926705,0.001919723681595379,287.83397736261674,0.6683276675845395,0.8015308780930783,0.2227758891948465,0,23.0
Kinan,Kinan_Jalan24,Jalan24,7,7,4.300892999999633,0.7168154999999388,0.4926909125970816,97.65413833825578,2.81089014660546,0.6535596553101182,0.46848169110091,1,24.0
Kinan,Kinan_Jalan25,Jalan25,7,5,1.1062090000050375,0.2765522500012594,0.005336485012180101,271.19649180094706,0.9973728874435877,0.901613426973606,0.2493432218608969,0,25.0
Kinan,Kinan_Jalan26,Jalan26,5,4,0.8190899999899557,0.2730299999966519,0.004256470481869083,293.00809435219946,0.8990326888440366,1.0975993954938545,0.29967756294801223,0,26.0
Kinan,Kinan_Jalan27,Jalan27,6,6,3.401120999988052,0.6802241999976104,0.7526905650010156,105.84745441319632,3.2711628761165263,0.961789620577456,0.6542325752233052,1,27.0
Kinan,Kinan_Jalan28,Jalan28,7,6,1.6543200000014622,0.3308640000002924,0.06895067467223995,217.612070215969,1.472599606514538,0.8901540249245832,0.2945199213029076,1,28.0
Kinan,Kinan_Jalan29,Jalan29,7,5,1.0966419999895152,0.2741604999973788,0.005820573198229214,273.56238408055526,1.1820235780093253,1.0778572934655306,0.29550589450233133,0,29.0
Kinan,Kinan_Jalan30,Jalan30,7,4,0.9879570000048261,0.3293190000016087,0.0008218327029327815,242.92555242670238,1.3588639768680013,1.3754282593891873,0.45295465895600046,0,30.0
Kinan,Kinan_Jalan31,Jalan31,7,6,1.424979000003077,0.2849958000006154,0.025511637651904603,252.6353019933786,1.221948561082204,0.8575203993038251,0.24438971221644082,0,31.0
Kinan,Kinan_Jalan32,Jalan32,7,6,1.7047050000110175,0.3409410000022035,0.07310357421039039,211.1802335287767,1.6734402830396224,0.9816597493576935,0.3346880566079245,1,32.0
Kinan,Kinan_Jalan33,Jalan33,9,9,4.660401999994065,0.5825502499992581,0.6703188469223746,115.86983268840063,2.532553935010939,0.5434196309704966,0.31656924187636737,1,33.0
Kinan,Kinan_Jalan34,Jalan34,7,7,2.5896190000057686,0.4316031666676281,0.22580182084433062,162.1860204142248,2.091522611518147,0.8076564975440357,0.34858710191969117,1,34.0
Kinan,Kinan_Jalan35,Jalan35,6,5,1.100800000000163,0.27520000000004075,0.003929103630664459,272.5290697674015,1.1863784004030458,1.077742006179933,0.29659460010076144,0,35.0
Kinan,Kinan_Jalan36,Jalan36,5,5,1.3182680000027176,0.3295670000006794,0.047899172693061084,227.57132843957493,1.0990480369373674,0.8337060726158123,0.27476200923434185,0,36.0
